"","da","pa","qa","pg","qg","RMSE","AIC"
"161",0,1,3,2,3,0.0897632229562045,-3.31132658019842
"162",0,1,3,3,0,0.0896710102257543,-3.09949647852315
"163",0,1,3,3,1,0.0897564128209605,-3.31031318253678
"164",0,1,3,3,2,0.0897546378209034,-3.31063700698448
"165",0,1,3,3,3,0.0897742841904505,-3.31167331210604
"166",0,1,4,0,1,0.0899373515518169,-2.80318277622956
"167",0,1,4,0,2,0.0899371342537311,-2.80642428530375
"168",0,1,4,0,3,0.0899306726298979,-2.80286608700371
"169",0,1,4,1,0,0.0899620930535432,-2.93944861708372
"170",0,1,4,1,1,0.0898343676732512,-3.31043356431055
"171",0,1,4,1,2,0.0898354461637024,-3.31030175556566
"172",0,1,4,1,3,0.0898941452308356,-3.26109168264783
"173",0,1,4,2,0,0.0898524212900447,-3.010014390082
"174",0,1,4,2,1,0.0898344036315151,-3.31027530041997
"175",0,1,4,2,2,0.0898301003801564,-3.31059393161287
"176",0,1,4,2,3,0.0898356466438301,-3.31112039727676
"177",0,1,4,3,0,0.0897535669612882,-3.09936533037471
"178",0,1,4,3,1,0.089834374985342,-3.31011700174137
"179",0,1,4,3,2,0.0898301198202289,-3.31043566376026
"180",0,1,4,3,3,0.0897296059389694,-3.29727128165855
"181",0,1,5,0,1,0.0899684218560656,-2.80354932832077
"182",0,1,5,0,2,0.0897722443958082,-2.7945876443134
"183",0,1,5,0,3,0.0899681650848905,-2.80323318814485
"184",0,1,5,1,0,0.0899442741547081,-2.93067299913932
"185",0,1,5,1,1,0.0898359995771234,-3.31019890728344
"186",0,1,5,1,2,0.0898370377341422,-3.3100667553936
"187",0,1,5,1,3,0.0898390816523165,-3.3101753473706
"188",0,1,5,2,0,0.0899618121272687,-3.01955089087338
"189",0,1,5,2,1,0.0898359998843194,-3.31004062553752
"190",0,1,5,2,2,0.0898317175250024,-3.31037041357104
"191",0,1,5,2,3,0.0898376039526471,-3.31090210020434
"192",0,1,5,3,0,0.0897474157767598,-3.09925369164045
"193",0,1,5,3,1,0.0898359877449423,-3.30988235770391
"194",0,1,5,3,2,0.0898317064652224,-3.31021214408038
"195",0,1,5,3,3,0.089847683243061,-3.31123126101005
"196",0,1,6,0,1,0.0899351290243044,-2.80341219417119
"197",0,1,6,0,2,0.0899350715874837,-2.80325400337713
"198",0,1,6,0,3,0.0899343773014455,-2.80309578129049
"199",0,1,6,1,0,0.0900861498397279,-2.93927604705008
"200",0,1,6,1,1,0.089831353993939,-3.30992733187297
"201",0,1,6,1,2,0.0898320544948486,-3.30979508777781
"202",0,1,6,1,3,0.0898347162332422,-3.30990286642634
"203",0,1,6,2,0,0.0902186076872209,-3.01981649995144
"204",0,1,6,2,1,0.0898313514006537,-3.30976905234321
